Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
Independencia,17.9,13.07,44.69,4.05,59,5.86,1.8,22.58,33.2,3.16,5.92,20,Hurto
Los Olivos,16.65,37.36,54.72,3.27,91,7.81,1.92,3.4,81.15,2.44,3.22,10,Asalto
Comas,3.96,6.18,50.7,4.94,38,3.76,5.35,26.54,83.87,6.05,5.16,6,Hurto
Villa El Salvador,15.23,8.77,78.03,1.79,26,5.4,1.29,16.74,47.7,4.43,8.57,16,Hurto
San Juan de Lurigancho,9.92,14.29,72.09,1.39,75,1.57,6.71,23.11,27.73,9.89,1.64,2,Microcomercializacion Drogas
Villa María del Triunfo,17.18,5.33,52.78,3.27,31,4.02,9.49,23.76,39.98,17.04,4.89,1,Asalto
San Martín de Porres,9.02,31.47,99.97,1.68,85,7.26,2.3,2.03,70.07,4.25,1.94,13,Robo
Ate,3.24,29.05,73.76,1.11,13,3.19,4.49,19.53,30.25,4.59,8.73,9,Asalto
Villa El Salvador,8.18,44.61,44.55,3.48,35,7.36,4.87,24.77,86.82,18.59,9.18,12,Hurto
Villa María del Triunfo,15.33,9.84,50.12,1.92,79,6.46,3.96,4.18,46.15,14.09,7.04,9,Robo
Los Olivos,4.81,8.29,40.16,2.45,52,3.63,5.01,3.22,44.39,4.4,6.82,4,Pandillaje
Villa María del Triunfo,10.27,43.24,52.88,2.82,81,9.51,9.8,17.27,86.5,4.41,1.23,0,Hurto
Villa El Salvador,4.05,43.34,48.52,1.87,80,6.24,1.89,15.14,70.42,11.06,4.56,9,Asalto
San Martín de Porres,17.15,16.38,61.8,2.59,43,0.94,9.89,28.57,25.48,18.73,4.27,2,Hurto
San Juan de Lurigancho,10.49,30.37,86.47,0.65,66,0.69,2.1,10.13,75.06,4.03,1.4,4,Robo
Villa María del Triunfo,10.67,38.08,45.88,3.67,90,7.33,6.37,20.07,77.87,3.03,5.54,4,Microcomercializacion Drogas
Cercado de Lima,17.16,7.89,81.44,2.9,61,7.1,0.11,14.3,79.03,10.3,3.8,0,Robo
Comas,6.51,32.49,61.15,3.71,46,7.43,0.51,8.19,39.2,11.4,2.3,20,Robo
Cercado de Lima,16.67,12.23,64.39,2.1,39,6.6,4.46,8.29,70.88,14.45,2.38,20,Hurto
Independencia,6.18,41.38,71.2,4.05,33,4.9,3.58,25.18,21.58,5.63,2.37,7,Violencia Familiar
Independencia,9.87,22.98,98.32,4.33,61,2.9,1.65,27.8,49.62,6.3,5.24,12,Asalto
Los Olivos,16.65,22.09,54.01,4.98,18,8.43,6.88,10.26,83.94,6.24,8.21,5,Robo
Los Olivos,16.65,36.67,51.59,3.51,65,1.32,3.76,20.82,74.77,11.08,6.31,20,Asalto
San Juan de Lurigancho,5.75,14.97,53.49,2.84,89,3.73,9.02,27.69,85.15,6.14,4.6,3,Asalto
Callao,13.2,9.72,43.38,2.35,32,7.06,7.83,14.75,68.87,8.37,2.44,20,Violencia Familiar
Comas,19.12,7.75,70.44,1.98,22,7.22,0.75,27.6,21.45,19.28,5.16,13,Hurto
San Juan de Lurigancho,17.2,43.69,66.32,2.27,49,7.67,2.07,27.21,56.61,3.18,4.61,14,Pandillaje
Villa El Salvador,11.61,31.88,94.7,2.76,79,0.03,4.51,11.87,58.84,4.57,8.74,5,Hurto
Cercado de Lima,11.17,24.95,52.91,1.72,99,6.29,7.93,5.71,56.3,15.8,3.35,4,Homicidio
Independencia,12.43,28.01,47.85,2.56,74,7.48,4.7,23.92,72.24,12.49,7.18,4,Violencia Familiar
Los Olivos,13.84,5.37,41.98,4.33,88,8.32,6.59,11.78,66.92,13.21,9.38,11,Asalto
Ate,8.81,36.18,74.51,4.93,82,2.43,9.92,7.53,60.29,18.58,2.32,11,Pandillaje
Comas,9.04,37.82,42.68,3.9,38,1.8,7.66,11.49,32.29,9.01,8.14,17,Asalto
San Martín de Porres,3.59,21.41,46.39,4.58,8,6.96,9.38,17.19,73.79,2.69,2.9,0,Robo
Callao,15.97,28.38,42.29,2.7,83,5.73,9.26,20.07,49.03,18.68,8.06,23,Robo
Callao,12.52,36.59,84.33,3.31,67,0.16,2.6,20.52,22.24,2.58,3.64,4,Violencia Familiar
Callao,10.83,19.58,61.18,3.36,73,8.63,4.75,29.84,88.6,17.76,6.17,15,Violencia Familiar
Comas,9.96,40.82,49.75,4.98,99,0.15,8.9,8.86,71.08,16.41,8.73,13,Hurto
Villa El Salvador,14.57,36.6,88.91,0.88,54,5.91,5.04,20.09,88.1,2.06,6.17,14,Homicidio
Villa El Salvador,4.33,27.42,59.92,1.2,32,5.6,6.66,29.39,70.99,13.23,4.02,6,Homicidio
Independencia,16.06,13.21,82.73,3.11,85,5.99,0.89,3.63,46.06,14.69,5.99,16,Pandillaje
Villa María del Triunfo,9.21,42.45,43.29,3.53,89,2.79,1.8,17.47,35.08,4.81,9.91,17,Violencia Familiar
Cercado de Lima,12.75,13.81,91.73,3.84,8,3.73,1.49,17.63,84.21,8.44,8.6,21,Violencia Familiar
Ate,9.29,5.73,47.66,3.89,29,4.51,9.38,5.43,34.84,1.56,4.91,12,Homicidio
Independencia,11.87,30.48,54.06,3.11,97,10.0,8.35,27.02,77.63,2.96,3.05,22,Homicidio
San Martín de Porres,4.85,23.91,80.63,4.44,44,6.77,1.99,4.23,78.59,2.5,1.82,23,Hurto
Villa María del Triunfo,18.53,23.81,74.15,4.68,50,3.87,2.51,6.65,44.46,15.09,7.81,4,Pandillaje
Los Olivos,13.0,27.83,69.06,2.97,37,3.62,7.38,18.79,32.43,6.77,4.03,9,Homicidio
Comas,18.85,35.0,90.58,2.62,33,8.3,9.51,19.76,44.77,12.46,3.81,6,Homicidio
Villa María del Triunfo,12.49,17.99,57.6,0.65,45,0.8,5.83,28.54,53.96,18.22,8.52,13,Homicidio
Comas,10.4,15.01,81.22,3.84,36,9.14,7.51,28.13,42.2,18.85,4.32,3,Microcomercializacion Drogas
Villa María del Triunfo,15.39,42.11,59.96,2.76,10,4.17,5.6,14.02,87.62,12.48,7.74,6,Homicidio
Independencia,3.21,6.37,82.14,1.76,75,6.54,6.72,2.15,88.94,17.68,9.06,0,Homicidio
Los Olivos,18.19,16.66,73.76,0.95,60,9.93,0.12,10.39,63.62,9.92,2.05,2,Robo
Los Olivos,19.75,37.4,67.61,4.57,19,5.25,4.77,14.53,74.26,11.01,3.85,17,Robo
Villa El Salvador,13.35,33.11,67.17,1.59,83,7.52,5.04,27.03,85.54,16.34,6.72,13,Hurto
Los Olivos,7.66,13.11,66.53,0.76,96,9.09,0.21,11.74,70.33,15.57,4.75,5,Pandillaje
Comas,4.07,9.31,79.02,1.91,31,3.72,8.47,25.18,46.8,12.19,7.49,16,Violencia Familiar
Comas,19.53,29.7,98.88,2.02,53,4.83,3.41,17.16,67.26,13.03,5.16,12,Robo
San Martín de Porres,3.41,30.0,55.15,3.51,69,9.16,9.58,2.29,89.33,13.98,6.79,10,Robo
Independencia,17.23,5.62,78.76,2.46,81,2.32,6.24,14.89,22.76,1.27,2.07,19,Pandillaje
Independencia,8.23,16.52,94.9,4.41,12,6.25,7.8,23.95,56.35,17.3,4.52,17,Hurto
Villa El Salvador,7.76,7.12,87.73,2.38,15,4.34,1.31,14.75,76.73,16.73,4.7,21,Homicidio
San Juan de Lurigancho,10.11,18.78,69.89,2.56,65,0.21,2.27,15.32,49.71,17.35,5.88,6,Asalto
Independencia,10.47,22.85,64.66,2.92,16,3.76,6.4,15.85,79.44,17.62,2.54,8,Hurto
Villa El Salvador,8.12,5.74,93.32,1.52,42,7.44,9.86,20.68,37.14,14.61,6.38,7,Violencia Familiar
Cercado de Lima,10.27,43.48,83.37,3.4,87,4.78,5.05,25.83,67.66,18.05,9.02,22,Pandillaje
Villa El Salvador,5.83,33.22,57.49,1.77,92,2.6,0.18,17.28,69.48,16.02,2.74,11,Hurto
Villa El Salvador,8.62,39.42,68.43,4.1,44,0.84,3.47,13.73,21.18,7.93,3.46,11,Hurto
Los Olivos,7.53,43.68,49.6,4.04,12,8.39,9.31,11.03,84.83,16.07,9.3,8,Robo
Independencia,18.21,12.37,52.78,1.72,12,6.8,6.69,28.39,77.62,1.8,5.24,8,Robo
Cercado de Lima,16.24,33.76,69.81,0.69,90,6.24,8.3,12.09,50.13,8.78,4.37,16,Pandillaje
Callao,4.85,9.32,65.67,0.94,29,6.68,0.59,20.41,81.82,11.96,4.19,20,Homicidio
Ate,12.25,11.17,55.06,3.82,10,8.21,1.28,29.94,38.1,14.76,9.17,11,Robo
Cercado de Lima,10.1,16.9,94.76,1.37,52,7.09,5.32,15.38,35.64,14.41,2.72,21,Microcomercializacion Drogas
San Juan de Lurigancho,16.37,43.96,43.58,4.16,78,5.51,2.9,19.18,44.77,7.34,1.34,11,Pandillaje
Comas,19.97,36.22,57.21,2.31,57,5.66,1.42,21.73,83.36,9.26,5.39,7,Asalto
Comas,12.03,13.05,57.08,3.94,24,4.36,0.72,24.01,46.39,2.91,6.7,23,Robo
Los Olivos,17.75,5.09,62.81,4.18,77,3.38,8.08,5.49,87.94,11.54,2.65,11,Homicidio
Los Olivos,6.03,25.52,88.84,4.0,16,8.55,6.58,14.16,44.25,1.37,8.43,20,Homicidio
San Martín de Porres,18.07,26.67,78.78,2.95,97,7.46,5.05,20.14,55.18,10.34,2.55,11,Violencia Familiar
Los Olivos,6.33,43.92,49.19,1.71,85,0.42,1.77,26.22,59.4,19.06,1.65,3,Homicidio
Ate,12.42,20.31,49.44,3.39,5,1.87,4.48,18.83,42.92,15.84,8.56,19,Pandillaje
San Martín de Porres,4.76,38.51,49.17,0.87,24,6.7,9.9,20.48,71.34,8.38,4.9,3,Hurto
Cercado de Lima,15.91,39.12,98.37,1.7,26,2.55,6.14,28.46,23.38,1.02,6.4,18,Microcomercializacion Drogas
Callao,8.56,16.59,56.17,1.15,40,1.68,4.25,14.91,21.43,1.32,5.68,2,Asalto
Independencia,9.13,36.94,71.44,3.07,46,8.41,6.83,7.83,52.32,18.3,3.94,18,Asalto
Ate,15.49,34.91,55.14,2.37,68,0.49,8.49,2.28,85.6,12.92,3.9,9,Robo
San Juan de Lurigancho,7.0,10.51,76.73,1.25,97,5.9,2.98,2.98,22.61,1.5,7.65,22,Robo
Callao,10.34,23.12,70.77,3.71,55,2.53,8.08,6.68,68.89,15.82,3.97,4,Pandillaje
Villa María del Triunfo,15.58,33.24,72.05,3.56,37,0.9,1.27,25.15,80.53,9.46,7.43,20,Robo
Villa María del Triunfo,17.51,20.93,58.14,4.08,20,3.31,0.9,17.75,53.53,2.99,6.51,19,Robo
Callao,18.39,21.38,97.18,4.39,82,1.59,4.35,13.25,60.3,12.08,7.75,11,Hurto
Comas,3.34,27.8,60.07,0.54,94,0.91,2.31,3.3,69.36,17.16,4.91,21,Asalto
Comas,8.84,23.39,51.52,1.51,55,9.01,9.76,27.25,28.92,16.65,4.69,6,Homicidio
Comas,12.42,26.19,59.3,0.84,37,2.25,8.78,15.49,59.42,12.28,6.76,8,Microcomercializacion Drogas
Villa María del Triunfo,12.31,29.38,45.46,2.63,44,2.11,9.49,11.4,42.77,18.54,4.76,13,Robo
San Martín de Porres,12.12,35.08,48.4,2.07,91,5.11,9.29,26.48,29.42,4.28,4.22,6,Robo
Independencia,18.35,43.49,79.22,4.27,85,0.56,4.89,18.22,63.21,8.7,3.74,1,Hurto
Callao,10.55,35.2,85.05,1.69,64,4.2,4.85,9.18,57.0,6.53,7.19,11,Microcomercializacion Drogas
Comas,19.72,20.7,61.74,1.93,6,4.97,6.0,7.06,57.87,6.22,7.58,13,Asalto
Cercado de Lima,15.41,25.5,82.73,2.4,70,0.03,2.45,21.73,26.94,18.27,2.94,16,Robo
Independencia,16.12,40.0,76.85,1.35,6,5.98,0.15,11.88,30.01,18.57,1.94,1,Hurto
San Juan de Lurigancho,17.39,17.34,99.51,0.67,1,9.55,1.93,26.72,76.66,19.39,5.3,13,Asalto
Cercado de Lima,3.38,6.99,55.82,0.79,61,5.89,6.26,17.07,66.35,3.21,6.0,8,Homicidio
Comas,18.26,14.7,61.19,4.78,3,0.11,2.42,21.01,36.18,10.67,8.99,23,Asalto
Independencia,11.92,44.24,73.17,0.61,97,7.57,6.11,12.2,34.7,15.75,5.38,18,Asalto
Ate,3.76,35.08,44.75,3.45,69,8.77,8.68,14.63,21.08,9.1,6.46,9,Pandillaje
San Juan de Lurigancho,15.79,6.22,57.0,2.74,84,7.1,0.48,13.42,69.35,5.31,8.16,6,Violencia Familiar
Villa El Salvador,9.01,24.3,75.84,2.63,4,4.34,2.02,7.99,20.41,6.72,7.74,12,Hurto
Comas,11.54,41.68,82.41,3.75,41,6.33,2.32,27.13,80.4,10.67,4.9,4,Violencia Familiar
San Juan de Lurigancho,5.95,18.64,64.51,2.07,45,6.99,6.45,13.5,56.8,19.0,6.36,22,Robo
Los Olivos,9.33,36.06,75.76,3.4,24,1.18,8.33,21.76,60.41,17.9,7.3,7,Pandillaje
Cercado de Lima,11.4,7.21,97.28,1.08,79,6.55,5.07,11.6,32.9,3.02,9.72,20,Robo
Villa El Salvador,7.34,25.27,97.98,3.09,13,3.98,7.72,3.08,48.12,16.18,5.7,4,Robo
Ate,5.25,32.08,80.5,4.91,30,5.01,3.75,19.52,75.55,6.33,6.01,16,Pandillaje
Ate,16.84,29.24,96.97,2.03,88,6.73,4.32,24.87,33.74,4.9,6.81,23,Hurto
Cercado de Lima,15.36,44.97,99.42,3.85,68,3.04,4.5,17.23,27.02,18.71,4.37,2,Hurto
Ate,11.73,32.78,43.33,1.78,65,7.32,2.57,6.91,68.35,17.01,5.33,11,Robo
San Juan de Lurigancho,11.41,10.28,97.35,4.1,78,5.89,7.9,20.37,62.61,8.82,5.26,7,Homicidio
San Martín de Porres,3.1,31.05,52.15,4.51,81,6.2,5.36,3.69,25.7,13.22,5.19,1,Violencia Familiar
Comas,3.17,24.24,64.87,0.98,22,4.2,5.77,26.44,80.45,8.06,2.88,6,Robo
Villa María del Triunfo,6.37,6.03,41.22,3.3,8,3.11,3.2,11.51,67.61,2.1,9.36,14,Homicidio
Callao,6.18,6.3,96.75,4.67,68,7.02,5.57,25.88,42.05,10.95,5.37,10,Homicidio
Cercado de Lima,18.52,8.7,83.3,1.13,80,9.47,2.47,20.71,71.81,9.51,9.44,19,Hurto
Cercado de Lima,7.3,35.35,73.67,1.85,93,6.9,9.06,5.66,60.0,5.82,8.21,18,Violencia Familiar
Callao,5.97,28.86,90.14,3.9,14,5.18,8.91,18.47,84.23,11.38,5.55,10,Homicidio
San Martín de Porres,17.91,32.04,61.42,2.81,92,8.77,3.95,15.06,80.25,10.91,2.74,9,Robo
San Martín de Porres,14.95,6.68,94.41,2.68,84,0.34,8.42,15.05,26.54,14.43,5.4,0,Robo
Cercado de Lima,15.38,36.95,96.71,3.24,43,9.24,7.75,18.08,68.69,18.56,7.41,1,Asalto
Callao,3.68,20.46,64.38,1.25,17,7.49,5.39,26.24,29.25,12.31,5.04,0,Homicidio
Villa El Salvador,9.33,9.33,55.1,1.72,21,0.49,6.51,8.2,25.73,6.72,3.02,16,Hurto
Ate,19.42,43.54,66.62,4.08,33,4.08,2.74,5.68,77.34,19.93,3.97,13,Hurto
San Martín de Porres,10.48,23.81,86.17,0.97,22,6.47,9.53,24.25,22.8,7.31,5.23,18,Homicidio
Independencia,3.19,7.39,99.57,0.82,23,7.67,3.62,22.56,27.29,16.0,5.79,9,Homicidio
Cercado de Lima,17.63,43.12,65.41,1.28,23,9.28,5.29,23.11,50.75,15.18,2.84,18,Violencia Familiar
Los Olivos,3.31,33.9,90.13,2.3,57,5.08,4.11,26.25,71.97,19.03,9.46,19,Violencia Familiar
Cercado de Lima,18.3,32.53,99.16,3.95,22,1.16,2.04,4.36,63.4,3.8,2.44,18,Pandillaje
San Martín de Porres,16.81,11.48,84.37,2.45,18,8.32,3.1,28.41,32.57,13.59,7.05,15,Violencia Familiar
Los Olivos,15.95,18.16,72.04,0.78,84,0.65,6.26,13.67,63.57,5.0,4.05,13,Homicidio
Ate,9.33,16.2,56.42,1.29,77,7.24,9.05,24.28,60.87,13.75,9.91,14,Violencia Familiar
Cercado de Lima,7.82,30.6,76.46,1.19,47,0.63,6.23,7.28,59.83,15.05,8.05,23,Homicidio
Ate,13.56,37.78,85.68,4.95,68,9.15,7.77,8.39,21.74,8.29,2.27,19,Robo
San Martín de Porres,3.75,38.46,54.92,2.45,20,4.27,9.32,10.01,49.9,2.94,5.44,7,Hurto
Cercado de Lima,14.94,42.71,56.02,2.48,9,2.98,6.58,25.37,59.09,1.59,5.15,10,Asalto
Los Olivos,3.33,25.08,75.3,2.05,91,1.87,7.73,15.28,44.58,7.86,8.67,16,Homicidio
Callao,18.25,41.07,59.71,4.79,0,3.66,8.29,13.2,22.38,16.6,5.91,22,Hurto
Ate,18.21,31.97,52.27,4.7,29,5.33,7.59,23.37,66.5,5.67,8.8,22,Robo
Los Olivos,16.01,7.77,48.84,3.62,95,0.08,8.8,7.59,86.31,7.5,4.96,21,Hurto
Villa El Salvador,8.4,27.15,83.84,0.69,63,3.07,8.34,10.65,48.71,7.61,2.05,3,Violencia Familiar
Comas,13.97,16.29,57.74,4.75,91,7.08,0.68,5.03,55.62,9.83,9.56,7,Pandillaje
Los Olivos,13.24,23.2,61.37,4.76,65,8.61,0.13,21.17,21.34,14.43,6.72,2,Pandillaje
Villa María del Triunfo,17.18,10.61,93.19,3.78,16,5.03,4.63,6.41,61.32,15.12,9.25,9,Robo
Villa María del Triunfo,15.22,37.03,69.61,1.02,11,1.45,1.77,26.15,47.49,1.08,3.46,18,Violencia Familiar
San Martín de Porres,4.88,41.88,85.07,3.15,81,0.17,1.92,23.07,85.6,2.66,6.02,0,Hurto
Cercado de Lima,6.72,28.11,43.91,2.45,91,9.18,4.5,22.84,52.69,5.33,2.79,1,Hurto
Cercado de Lima,13.29,32.55,56.94,2.67,99,5.98,4.36,29.46,44.94,12.66,3.8,12,Violencia Familiar
Villa María del Triunfo,13.78,10.07,83.98,1.71,39,1.47,4.53,26.67,49.48,16.95,6.31,4,Violencia Familiar
Callao,11.6,20.95,47.18,2.38,23,8.23,6.75,4.46,67.82,12.03,6.35,11,Asalto
Villa El Salvador,7.42,42.68,71.81,4.24,39,1.0,6.74,2.22,53.27,4.66,6.65,22,Robo
San Juan de Lurigancho,16.9,25.31,69.75,4.69,19,9.01,0.99,5.28,40.95,19.24,6.7,23,Pandillaje
San Martín de Porres,10.05,5.71,91.71,1.28,31,2.78,5.22,14.06,65.37,7.92,3.07,11,Homicidio
San Juan de Lurigancho,7.04,8.25,77.63,2.01,94,0.32,1.33,21.22,34.87,17.29,1.53,2,Hurto
Callao,10.36,33.12,50.96,3.24,70,7.84,5.75,5.22,49.25,6.0,1.64,23,Robo
Los Olivos,14.49,14.99,74.42,4.74,52,6.89,9.68,24.37,29.56,7.61,9.69,18,Violencia Familiar
Villa María del Triunfo,19.99,17.33,93.07,3.54,35,8.8,3.55,5.06,86.43,10.28,5.53,22,Robo
Comas,18.83,19.46,63.82,1.28,66,3.76,1.41,21.86,79.82,14.03,1.16,15,Pandillaje
Comas,12.7,35.26,46.63,4.27,14,9.64,2.0,4.67,28.36,15.88,4.15,18,Pandillaje
Ate,13.97,26.87,84.62,2.03,24,1.22,8.1,15.48,51.54,9.05,5.58,18,Robo
Cercado de Lima,19.2,12.21,83.45,4.16,13,7.61,5.25,8.24,43.64,10.32,3.85,20,Asalto
Los Olivos,5.09,8.39,42.79,1.0,41,0.04,4.95,4.81,72.81,6.25,4.99,23,Asalto
Los Olivos,18.37,10.11,96.88,3.07,13,4.96,5.02,2.65,44.88,15.06,5.59,19,Hurto
Ate,11.93,26.13,97.69,1.94,14,2.94,8.73,24.32,56.05,3.48,2.94,22,Homicidio
Independencia,8.41,7.19,82.2,4.51,72,3.51,1.67,2.94,47.0,18.17,3.15,4,Pandillaje
Los Olivos,6.7,42.15,58.42,2.29,95,1.4,5.52,9.67,24.56,1.95,2.04,12,Hurto
Comas,11.25,18.72,65.1,4.68,79,7.16,8.85,10.95,46.68,12.66,6.61,12,Microcomercializacion Drogas
San Juan de Lurigancho,19.77,37.84,66.1,3.77,87,0.24,3.83,16.74,67.49,6.44,3.27,18,Asalto
Comas,15.96,22.17,43.26,1.26,26,3.72,2.99,26.03,89.9,12.96,8.16,12,Robo
Villa María del Triunfo,12.76,38.32,81.29,0.6,48,8.84,7.48,29.78,47.78,8.9,2.55,16,Violencia Familiar
Independencia,6.71,11.57,54.21,2.76,83,2.82,8.13,5.32,72.93,2.86,5.02,4,Pandillaje
Independencia,18.78,15.45,60.09,2.59,19,1.8,9.7,17.45,52.77,19.7,6.01,22,Robo
Comas,9.5,28.78,44.19,1.65,33,8.56,1.17,21.31,48.62,4.92,4.62,22,Robo
Villa El Salvador,7.3,17.46,47.26,4.39,66,0.6,0.19,29.27,33.54,16.62,6.06,0,Robo
Comas,11.44,21.29,81.93,4.57,18,7.09,6.23,20.04,69.98,6.56,3.9,18,Violencia Familiar
Villa María del Triunfo,19.74,37.56,49.88,0.53,49,0.61,8.87,22.03,22.57,9.16,7.79,0,Hurto
San Juan de Lurigancho,17.75,18.31,45.08,4.75,67,6.94,1.12,17.83,37.41,9.2,6.71,16,Pandillaje
San Juan de Lurigancho,11.74,36.94,97.87,1.18,82,9.87,3.06,5.57,58.19,17.3,7.1,12,Asalto
Ate,14.97,33.49,45.68,3.79,19,5.79,4.3,19.96,77.27,1.11,9.93,6,Violencia Familiar
San Juan de Lurigancho,17.82,14.0,68.61,1.1,67,7.8,2.91,9.78,66.71,18.02,6.2,18,Robo
Independencia,3.51,9.21,97.93,4.73,43,1.62,2.41,16.44,59.88,5.21,7.81,3,Robo
Ate,14.16,22.45,87.39,4.18,36,1.31,2.42,8.81,81.42,4.78,8.08,9,Homicidio
Cercado de Lima,12.06,9.0,75.32,4.0,17,2.61,0.98,19.25,50.43,9.1,5.74,7,Violencia Familiar
Los Olivos,19.49,41.99,96.12,2.14,31,9.54,9.02,24.13,48.51,11.72,8.14,23,Violencia Familiar
San Juan de Lurigancho,3.25,37.36,96.31,4.05,23,6.02,7.86,22.34,69.1,14.61,5.09,16,Asalto
Independencia,3.57,14.64,49.27,4.49,80,1.38,1.2,21.6,20.43,9.95,2.07,8,Robo
San Juan de Lurigancho,19.3,22.68,78.67,3.2,87,0.56,1.24,15.98,43.59,6.62,1.6,3,Asalto
San Martín de Porres,5.07,7.6,98.49,3.57,43,4.02,9.57,29.88,71.13,5.32,1.92,13,Homicidio
Villa El Salvador,15.27,40.36,76.95,1.09,58,8.74,9.98,8.85,78.96,16.64,3.08,3,Robo
Cercado de Lima,10.66,17.94,91.4,3.17,17,6.9,5.66,4.17,31.38,8.37,2.67,3,Asalto
Cercado de Lima,11.23,8.63,47.74,1.58,51,3.7,1.73,4.75,42.91,3.59,2.41,15,Robo
Los Olivos,17.35,38.8,59.75,0.9,28,5.11,9.14,29.1,79.3,6.89,2.77,20,Asalto
Independencia,7.38,35.07,45.7,1.94,62,3.73,8.42,14.07,48.09,1.54,7.26,20,Hurto
San Martín de Porres,3.06,26.29,46.43,2.26,27,9.68,7.24,13.53,21.34,1.65,7.16,14,Homicidio
Villa María del Triunfo,19.62,5.19,92.42,1.88,29,0.71,5.41,26.99,67.6,14.68,1.76,7,Homicidio
Cercado de Lima,17.79,22.96,98.75,4.82,21,8.21,2.25,26.48,38.44,4.9,3.38,12,Robo
Villa María del Triunfo,9.8,28.08,91.3,4.88,74,5.1,6.68,2.74,46.37,14.22,3.27,0,Hurto
San Juan de Lurigancho,19.29,13.67,42.93,1.82,11,8.51,5.57,7.79,63.65,7.8,8.6,10,Robo
Ate,19.89,32.15,53.91,0.99,39,3.3,6.5,23.2,72.47,10.69,8.3,0,Hurto
Villa María del Triunfo,12.77,13.5,52.5,1.06,50,0.32,6.74,13.24,59.31,13.1,9.75,12,Asalto
Los Olivos,7.18,24.07,95.23,3.76,61,5.48,0.24,23.4,60.66,12.89,1.47,17,Hurto
Los Olivos,7.91,30.1,73.97,3.25,45,7.45,6.34,23.63,42.73,15.07,8.76,4,Robo
Cercado de Lima,18.3,6.99,61.01,1.03,17,9.79,7.97,10.45,79.33,15.42,3.67,20,Homicidio
Ate,16.15,42.3,82.43,4.53,49,0.77,4.73,24.46,75.23,15.44,4.14,5,Microcomercializacion Drogas
San Juan de Lurigancho,19.56,18.1,95.39,1.71,82,6.7,4.64,19.17,39.08,6.21,2.02,5,Hurto
Cercado de Lima,16.68,29.62,46.05,3.14,11,6.7,1.75,15.27,65.39,1.54,1.13,16,Violencia Familiar
Villa María del Triunfo,10.3,24.5,48.28,3.53,26,2.15,3.24,16.54,74.79,16.93,6.25,17,Violencia Familiar
Los Olivos,7.19,37.12,76.72,2.2,4,4.47,2.77,4.92,25.26,7.6,6.53,8,Asalto
Los Olivos,9.66,25.54,88.58,2.99,84,8.9,5.5,13.58,25.09,14.57,7.33,0,Microcomercializacion Drogas
Callao,10.37,28.73,54.0,4.74,76,3.11,4.5,24.56,31.31,6.56,7.12,7,Violencia Familiar
Villa El Salvador,15.97,7.73,40.76,4.54,1,8.94,7.76,22.11,38.53,12.81,5.69,23,Pandillaje
Comas,3.08,32.11,72.99,1.99,78,0.73,1.96,15.59,74.93,10.22,4.02,16,Hurto
Callao,7.61,29.6,98.63,1.0,53,0.68,0.33,18.94,63.34,11.06,7.86,3,Robo
Ate,4.62,31.96,48.0,4.46,55,0.33,1.05,7.86,87.91,13.69,8.01,6,Hurto
San Juan de Lurigancho,13.13,17.58,73.67,2.9,43,9.9,6.33,8.78,50.57,15.07,5.02,0,Robo
Comas,16.45,30.93,74.19,1.25,8,9.3,7.07,11.23,47.35,15.08,6.41,10,Homicidio
Los Olivos,6.67,34.15,78.74,4.94,3,5.98,7.8,11.49,46.58,17.87,4.64,20,Homicidio
Cercado de Lima,7.36,40.65,69.46,3.2,18,9.54,2.06,10.73,41.55,6.49,5.22,11,Hurto
Ate,8.58,21.91,80.17,0.58,21,6.8,3.51,10.79,67.89,5.1,4.78,9,Robo
Comas,10.34,43.77,48.42,3.14,95,0.68,2.73,18.19,69.04,13.44,1.44,0,Homicidio
Comas,4.55,12.13,81.31,4.24,97,7.93,1.5,20.47,42.65,7.48,6.96,17,Homicidio
Villa El Salvador,4.09,12.76,79.37,4.35,53,5.47,9.55,15.91,47.55,10.18,8.11,7,Microcomercializacion Drogas
Callao,7.28,18.06,44.67,2.74,97,8.31,3.55,9.88,78.86,1.95,4.57,20,Violencia Familiar
Callao,15.77,7.56,82.88,2.87,79,0.15,7.48,4.56,38.18,11.48,5.07,0,Microcomercializacion Drogas
Ate,19.29,15.43,80.96,4.73,24,7.38,1.28,12.69,60.98,15.0,1.03,13,Hurto
San Juan de Lurigancho,11.98,21.45,56.13,4.99,18,0.44,2.17,29.19,88.55,13.44,8.92,3,Violencia Familiar
Comas,6.04,5.05,91.19,3.72,17,3.67,9.78,14.16,30.53,9.85,7.11,0,Violencia Familiar
San Juan de Lurigancho,11.8,39.35,79.11,1.35,20,8.87,5.62,9.06,86.84,10.18,3.99,17,Hurto
Villa El Salvador,17.16,29.58,94.79,1.54,15,1.55,5.77,25.14,22.98,8.98,5.15,3,Pandillaje
Villa María del Triunfo,12.65,36.65,73.59,2.11,96,4.69,4.25,10.09,32.06,15.48,9.91,21,Pandillaje
San Martín de Porres,7.16,13.71,48.2,2.98,83,4.54,2.12,7.65,80.14,13.88,5.91,0,Hurto
